Timestamp,1. I am a(n):,2. Are you a professional educator?,3. Please indicate the gender option you most identify with:,4. With what group or groups do you identify (you may select multiple options)?,5. My age in years is:,6. My formal educational background is (you may choose multiple):,7. Years I have attended Science Panels at Phoenix Comicfest (formerly Phoenix Comicon):,"8. Each year, how many Science Panels at Phoenix Comicfest (formerly Phoenix Comicon) do you attend or plan to attend:",9. Which area(s) of science are you most interested in learning about (you may choose multiple)?,The panels I attended were relevant to my personal or professional life.  ,The panels I attended were of a high educational quality.,The panels I attended had relevant/ meaningful content.,The content of the panels I attended was understandable.,The panels I attended were entertaining.,The panels I attended had knowledgeable panelists.,I will return for additional science panels in the future.,I learned something new during a panel.,I will use information I learned from a panel in my daily life.,A panel or panels helped me have a better understanding of science.,"I will share ideas that were discussed in panels with friends, family, or colleagues.",The panels encouraged me to consider a career in science.,I made useful professional contacts at a panel.,"In the area below, please write anything else you want us to know about the Science Panels at Phoenix Comicfest (formerly Phoenix Comicon): "
5/24/2018 16:06:32,Audience Member that is not a panelist,No,Female,White,25-30,some college with no degree,1 (first year),4-6,"Astronomy, Biology, Chemistry, Physics, Engineering, Psychology, Robotics, Computer Science, Mathematics, Social Science, Art",3,4,4,4,5,4,5,5,3,3,4,3,3,Perhaps use a moderator to keep the panels on topic and from the audience changing the panel
5/24/2018 17:38:02,Audience Member that is not a panelist,No,Female,Hispanic / Latino,20-24,Bachelor degree,3,7-9,"Astronomy, Biology, Psychology, Social Science, Art, Nutrition and health ",3,4,4,4,4,5,5,5,3,4,5,3,3,N/A
5/24/2018 20:33:52,Audience Member that is not a panelist,No,Male,White,51-59,Bachelor degree,2,1-3,"Astronomy, Biology, Chemistry, Physics, Engineering, Psychology, Robotics, Computer Science, Mathematics, Art",3,5,5,5,5,5,5,5,3,5,5,3,3,
5/25/2018 13:05:31,Audience Member that is not a panelist,Yes,Female,White,36-40,Master degree,3,1-3,Social Science,5,5,5,5,5,5,5,5,4,4,5,3,3,The Black Panther Culture of the Unconquered panel was amazing!
5/25/2018 13:10:07,Audience Member that is not a panelist,No,Male,Black / African American,41-50,PhD degree,1 (first year),1-3,"Astronomy, Biology, Physics, Psychology, Robotics, Computer Science, Social Science, Art",5,5,5,5,5,5,5,5,5,5,5,5,5,
5/25/2018 13:11:05,Audience Member that is not a panelist,Yes,Female,White,31-35,Bachelor degree,5,16+,"Biology, Chemistry, Psychology, Social Science, Art",5,5,5,5,5,5,5,5,5,5,5,5,5,
5/25/2018 13:32:04,Audience Member that is not a panelist,Yes,Male,White,60+,Master degree,4,4-6,"Astronomy, Biology, Social Science, Art",5,5,5,5,5,5,5,5,5,5,5,5,5,
5/25/2018 14:39:34,Audience Member that is not a panelist,No,Female,White,36-40,Bachelor degree,1 (first year),1-3,"Biology, Chemistry, Psychology, Computer Science, Social Science, Art",5,5,5,5,5,5,5,5,5,5,5,3,4,
5/25/2018 15:08:57,Audience Member that is not a panelist,No,Male,White,31-35,Bachelor degree,3,1-3,"Psychology, Social Science",4,5,5,5,5,5,5,5,3,4,5,1,1,
5/25/2018 16:07:05,Audience Member that is not a panelist,No,Female,White,25-30,Bachelor degree,2,4-6,"Biology, Psychology, Social Science, Art",4,5,5,5,5,5,5,5,5,5,5,5,3,
5/25/2018 18:59:17,Audience Member that is not a panelist,Yes,Female,White,31-35,Bachelor degree,5,16+,"Biology, Chemistry, Psychology, Social Science, Art",5,5,5,5,5,5,5,5,5,5,5,5,5,
5/25/2018 23:17:59,Audience Member that is not a panelist,No,Male,White,12-15,enrolled in 6-8 grade,1 (first year),1-3,"Biology, Robotics, Computer Science",2,4,4,4,3,4,4,4,2,4,4,3,3,It was a good panel.
5/26/2018 6:35:30,Audience Member that is not a panelist,Yes,Male,White,60+,Bachelor degree,5,7-9,"Biology, Social Science, Anthropology ",5,5,5,5,5,5,5,5,5,5,5,5,5,"Please continue and expand this program, I enjoy the connection between real science and popular culture"
5/26/2018 9:29:12,Audience Member that is not a panelist,No,Female,White,31-35,Bachelor degree,4,1-3,"Biology, Psychology, Social Science, Art",4,5,4,5,4,5,5,5,3,4,4,2,1,
5/26/2018 14:14:53,Audience Member that is not a panelist,No,Male,White,16-19,high school diploma or GED,1 (first year),1-3,"Psychology, Social Science",5,4,5,5,5,4,4,5,5,4,5,5,3,
5/26/2018 19:59:45,Panelist,No,Female,Black / African American,20-24,Master degree,1 (first year),1-3,"Psychology, Social Science, Art",3,5,5,5,5,5,5,5,5,5,5,5,5,
5/27/2018 16:10:48,Audience Member that is not a panelist,No,Female,White,41-50,Bachelor degree,1 (first year),4-6,"Biology, Chemistry, Engineering, Robotics, Computer Science",5,5,5,4,5,5,5,5,4,5,5,3,3,This is the first year I have a tended any science panels. My favorites were the AI/Machine Learning panel & the Cybernetics panel. Very well-spoken & educated panelists.
5/27/2018 16:25:15,Audience Member that is not a panelist,Yes,Female,White,31-35,Associate degree,5,1-3,"Psychology, Computer Science, Social Science, Art, Language or Literature",5,4,5,5,5,5,5,5,4,4,5,4,2,Panels on Graphic Novels!
5/31/2018 19:40:35,Audience Member that is not a panelist,Yes,Male,Black / African American,31-35,"college graduate enrolled in graduate program, Master degree",2,1-3,"Astronomy, Physics, Engineering, Mathematics",4,5,4,4,3,4,4,4,2,3,4,2,2,
6/13/2018 7:50:25,Audience Member that is not a panelist,No,Male,Black / African American,41-50,PhD degree,1 (first year),1-3,"Astronomy, Biology, Physics, Engineering, Psychology, Social Science, Art",5,5,5,5,5,5,5,5,3,5,4,1,2,
6/13/2018 12:01:45,Audience Member that is not a panelist,No,Male,Black / African American,41-50,PhD degree,1 (first year),1-3,"Astronomy, Biology, Physics, Engineering, Psychology, Social Science, Art",5,5,5,5,5,5,5,5,3,5,4,1,2,
10/14/2018 16:54:20,Audience Member that is not a panelist,No,Female,White,20-24,Bachelor degree,2,1-3,"Chemistry, Computer Science, Social Science",2,2,4,5,5,5,5,5,3,5,5,4,3,
10/14/2018 16:54:41,Audience Member that is not a panelist,No,Female,White,16-19,enrolled in 9-12 grade,2,4-6,"Astronomy, Physics, Engineering, History, Geology ",1,2,3,3,4,4,4,4,2,2,2,2,,
10/14/2018 16:59:13,Audience Member that is not a panelist,No,Male,Asian,16-19,enrolled in 9-12 grade,5,4-6,"Astronomy, Biology, Chemistry, Physics, Engineering, Psychology, Robotics, Social Science, Art",3,5,5,4,4,5,4,5,4,5,4,3,1,
10/14/2018 17:00:02,Audience Member that is not a panelist,No,Female,White,12-15,enrolled in 6-8 grade,5,7-9,"Engineering, Robotics, Computer Science, Mathematics, Art",4,4,5,3,4,3,5,3,2,4,4,5,1,
10/14/2018 17:03:17,Audience Member that is not a panelist,No,Male,White,16-19,enrolled in 9-12 grade,2,4-6,"Physics, Engineering, Computer Science",4,4,5,5,5,5,5,5,4,4,4,4,3,
10/14/2018 17:04:09,Audience Member that is not a panelist,No,Female,Hispanic / Latino,31-35,college graduate enrolled in graduate program,3,4-6,"Biology, Chemistry, Engineering, Psychology, Robotics",4,3,4,4,5,5,5,5,3,3,4,2,2,
10/14/2018 17:05:09,Audience Member that is not a panelist,Yes,Female,White,41-50,"college graduate enrolled in graduate program, Master degree",5,4-6,"Astronomy, Biology, Chemistry, Physics, Engineering, Robotics, Computer Science, Mathematics, Social Science, Communication",3,4,4,4,2,4,5,3,3,3,4,4,1,Panelists need to balance egos and work together. Sometimes one dominates and is rude to others
10/14/2018 17:06:42,Audience Member that is not a panelist,No,Male,White,31-35,Bachelor degree,3,4-6,Medicine,4,5,4,4,5,5,5,5,3,4,4,3,1,Thank you!
10/14/2018 17:07:37,Audience Member that is not a panelist,Yes,Male,White,41-50,Bachelor degree,4,4-6,"Engineering, Psychology, Robotics, Computer Science, Mathematics, Social Science, History",4,4,3,3,3,3,4,4,3,3,5,2,2,
10/14/2018 17:09:35,Panelist,Yes,Female,White,36-40,PhD degree,1 (first year),1-3,Chemistry,5,5,5,5,5,5,5,5,,5,5,5,,
10/14/2018 17:09:39,Audience Member that is not a panelist,No,Female,White,60+,Bachelor degree,5,7-9,"Astronomy, Biology, Chemistry, Physics, Engineering, Robotics, Computer Science, Mathematics",3,5,5,5,5,5,5,5,4,5,5,4,3,"BS in S. CPA. Written next to panels encouraged me to consider a career in science: Too late retired: Encouraged my eldest son non graduating with science degree. Answer to above question: Main reason for attending is for science panels. "
